date,clones,unique_cloners
2026-04-24,62,56
2026-04-25,47,37
2026-04-26,46,38
2026-04-27,42,36
2026-04-28,68,46
2026-04-29,72,40
2026-04-30,45,33
2026-05-01,51,34
2026-05-02,32,23
2026-05-03,52,38
2026-05-04,49,31
2026-05-05,54,37
2026-05-06,61,44
2026-05-07,177,61
2026-05-08,187,66
2026-05-09,156,51
2026-05-10,155,51
2026-05-11,167,51
2026-05-12,134,63
2026-05-13,146,56
2026-05-14,175,84
2026-05-15,130,46
2026-05-16,104,63
2026-05-17,80,50
2026-05-18,124,61
2026-05-19,135,59
2026-05-20,99,50
2026-05-21,109,63
2026-05-22,80,48
2026-05-23,73,39
2026-05-24,135,44
2026-05-25,102,46
2026-05-26,132,60
2026-05-27,118,53
2026-05-28,134,77
2026-05-29,151,83
2026-05-30,78,48
2026-05-31,114,59
2026-06-01,126,72
2026-06-02,117,69
2026-06-03,106,62
2026-06-04,98,60
2026-06-05,104,57
2026-06-06,107,58
2026-06-07,107,61
2026-06-08,150,84
2026-06-09,144,97
2026-06-10,157,78
