date,views,unique_visitors
2026-04-29,231,90
2026-04-30,186,87
2026-05-01,246,79
2026-05-02,200,75
2026-05-03,123,69
2026-05-04,144,68
2026-05-05,213,92
2026-05-06,113,76
2026-05-07,169,84
2026-05-08,172,87
2026-05-09,205,82
2026-05-10,218,89
2026-05-11,151,79
2026-05-12,133,77
2026-05-13,125,73
2026-05-14,174,98
2026-05-15,193,79
2026-05-16,244,98
2026-05-17,243,86
2026-05-18,157,83
2026-05-19,168,75
2026-05-20,153,80
2026-05-21,170,79
2026-05-22,203,93
2026-05-23,152,69
2026-05-24,233,95
2026-05-25,200,93
2026-05-26,182,81
2026-05-27,149,80
2026-05-28,159,75
2026-05-29,240,79
2026-05-30,189,83
2026-05-31,210,85
2026-06-01,121,70
2026-06-02,109,56
2026-06-03,136,65
2026-06-04,147,75
2026-06-05,177,86
2026-06-06,254,162
2026-06-07,238,96
2026-06-08,165,82
2026-06-09,231,101
2026-06-10,149,70
